Dish Name,Carbohydrates (g),Protein (g),Fats (g)
Mixed pulse and vegetable salad,13.96,4.74,0.84
Sprouted moong salad ,5.48,2.29,0.74
Tossed salad,4.95,1.02,4.22
Mixed vegetable salad with curd sauce,7.03,4.23,1.5
Potato salad (Aloo ka salaad),11.19,1.4,4.4
Waldroff salad,11.02,1.47,10.05
Coleslaw,5.59,1.24,5.32
Fruit salad (Phalon ka salaad),15.96,0.91,1.22
Tomato onion raita (Tamatar aur pyaaz ka raita),7.08,3.74,1.84
Peanut raita (Mungfali ka raita),9.3,8.59,8.98
Sprouted moong raita ,6.13,4.62,2.19
Bottle gourd raita (Ghiya/Lauki ka raita),5.76,3.98,2.07
Cucumber raita (Kheere ka raita),6.35,4.04,2.08
Carrot and spinach raita (Gajar aur palak ka raita),5.83,4.0,1.99
Mint raita (Pudinay ka raita),7.65,5.64,2.96
Potato raita (Aloo ka raita),10.24,4.22,2.04
Boondi raita,3.96,2.19,73.83
Sweet raita (Meetha raita),17.93,3.24,1.78
Dahi vadas/Dahi bhalla,5.49,2.96,70.4
Gunjia,5.68,2.98,70.28
Saunth/Sonth chutney with tamarind/imli,33.55,1.01,0.15
Rice kheer (Chawal ki kheer),10.05,2.3,2.97
Makhana kheer,12.88,3.31,5.0
Vermicelli kheer (Semiya/Seviyan ki kheer),15.87,3.35,5.0
Semolina kheer (Suji/Rava kheer),15.88,3.43,4.2
Paneer kheer,10.03,4.53,5.37
Cabbage kheer (Pattagobhi ki kheer),9.73,2.87,3.8
Carrot kheer (Gajar ki kheer),10.09,2.81,3.85
Cauliflower kheer (Phoolgobhi ki kheer),8.78,3.04,3.95
Moong dal kheer,9.89,2.95,2.97
Phirni,16.11,3.49,4.34
Semolina halwa (Suji ka halwa),24.67,2.16,13.38
Shahi suji halwa,44.44,3.48,21.73
Carrot halwa (Gajar ka halwa),18.53,3.11,9.73
Egg halwa (Ande ka halwa),39.59,7.85,13.41
Potato halwa (Aloo ka halwa),29.18,1.53,3.48
Pumpkin halwa (Kaddu ka halwa),27.6,1.33,8.81
Moong dal halwa,40.23,8.35,17.68
Caramel custard (steamed),15.02,4.97,4.87
Baked custard,9.45,5.41,5.3
Soft Custard (stirred),11.19,5.01,5.07
Chocolate ice cream,15.41,4.47,11.25
Mango ice cream,11.14,3.4,7.62
Fruit Ice cream (Phalon ka Ice cream),16.05,4.37,10.38
Caramel ice cream,14.81,4.31,11.15
Lemon souffle,13.43,6.95,10.02
Orange souffle,14.2,6.8,9.73
Vanilla souffle,14.78,7.71,11.19
Chocolate souffle,14.74,7.88,11.36
Pineapple souffle ,15.52,8.06,11.72
Apple mousse,12.77,4.21,4.27
Rich chocolate mousse,10.84,7.96,12.19
Mango mousse,9.14,3.21,8.47
Orange and pineapple cream,11.96,1.44,5.43
Charlotte rousse,34.08,3.95,4.78
Triffle pudding,18.24,2.93,3.93
Snow flakes pudding,8.07,4.67,4.97
Kulfi,11.3,3.21,4.7
Steamed orange pudding,41.53,2.34,12.04
Meringue and rice pudding,14.6,4.84,4.05
Cheese pudding,19.27,11.29,18.37
Chocolate pudding,29.59,3.55,9.48
Bread and butter pudding ,19.63,5.59,7.88
Queen of pudding,16.35,5.51,5.38
Pineapple upside down pudding,35.73,3.15,11.91
Date and nut pie,46.86,3.93,13.31
Stewed apple with custard,18.36,1.27,1.82
Apple snowballs,24.58,0.86,0.31
Hot orange souffle,18.77,6.87,8.95
Hot chocolate souffle,26.21,6.7,11.1
Hot vanilla souffle,21.77,6.87,9.07
Plain burfi (Burfi),30.88,9.82,27.96
Coconut burfi (Nariyal ki burfi),32.15,8.81,34.63
Bottle gourd burfi (Ghiya/Lauki burfi),24.51,5.86,17.68
Chocolate burfi,33.15,13.0,17.86
Cashewnut burfi (Kaju burfi/Kaju katli),37.92,5.48,28.46
Gram flour burfi (Besan burfi),46.59,11.19,22.41
